Time,The_Coin_Sensor,The_Coffee_Request_Button,The_System_Mode,The_Coffee_Machine_Output,The_Request_Timer
0,false,false,1,0,0
1,false,false,1,0,0
2,true,false,0,0,0
3,false,false,0,0,0
4,false,false,0,0,0
5,true,true,0,0,0
6,false,false,0,0,0
7,true,true,0,0,0
8,false,false,0,0,0
9,false,false,0,0,0
10,true,true,0,0,0
11,false,false,0,0,0
12,false,false,0,0,0
13,false,false,0,0,0
14,true,true,0,0,0
15,true,true,0,0,0
16,false,false,0,0,0
17,true,true,0,0,0
18,false,false,0,0,0
19,true,true,0,0,0
20,true,true,0,0,0
21,true,true,0,0,0
22,true,true,0,0,0
23,true,true,0,0,0
24,false,false,0,0,0
25,true,true,0,0,0
26,true,true,0,0,0
27,false,false,0,0,0
28,false,false,0,0,0
29,true,true,0,0,0
30,false,false,0,0,0
31,true,true,0,0,0
32,false,false,0,0,0
33,false,false,0,0,0
34,true,true,0,0,0
35,false,false,0,0,0
36,true,true,0,0,0
37,false,false,0,0,0
38,true,true,0,0,0
39,false,false,0,0,0
40,false,false,0,0,0
41,true,true,0,0,0
42,true,true,0,0,0
43,true,true,0,0,0
44,false,false,0,0,0
45,false,true,2,0,0
46,false,false,2,0,0
47,true,true,2,0,0
48,true,true,2,0,0
49,true,true,2,0,0
50,true,true,2,0,0
51,true,true,2,0,0
52,false,false,2,0,0
53,true,true,2,0,0
54,false,false,2,0,0
