Time,The_Coin_Sensor,The_Coffee_Request_Button,The_System_Mode,The_Coffee_Machine_Output,The_Request_Timer
0,false,false,1,0,0
1,false,false,1,0,0
2,false,false,1,0,0
3,false,false,1,0,0
4,true,false,0,0,0
5,true,true,0,0,0
6,false,false,0,0,0
7,true,true,0,0,0
8,false,false,0,0,0
9,true,true,0,0,0
10,true,true,0,0,0
11,true,true,0,0,0
12,true,true,0,0,0
13,true,true,0,0,0
14,true,true,0,0,0
15,false,false,0,0,0
16,true,true,0,0,0
17,true,true,0,0,0
18,false,false,0,0,0
19,false,true,3,0,0
20,true,true,3,0,0
21,true,true,3,0,0
22,true,true,3,0,0
23,false,false,3,0,0
24,false,false,3,0,0
25,false,false,3,0,0
26,true,true,3,0,0
27,false,false,3,0,0
28,true,true,3,0,0
29,false,false,1,1,0
30,false,false,1,1,0
